Cell ID,PseudoTime,Time,Experiment
E0_74,0.09261576971214018,74.0,0
E1_464,0.5807259073842302,464.0,1
E2_13,0.016270337922403004,13.0,2
E3_554,0.6933667083854819,554.0,3
E4_657,0.8222778473091364,657.0,4
E5_534,0.6683354192740926,534.0,5
E6_103,0.12891113892365458,103.0,6
E7_175,0.2190237797246558,175.0,7
E8_178,0.2227784730913642,178.0,8
E9_58,0.07259073842302878,58.0,9
E10_215,0.2690863579474343,215.0,10
E11_219,0.27409261576971217,219.0,11
E12_761,0.9524405506883604,761.0,12
E13_441,0.5519399249061326,441.0,13
E14_227,0.28410513141426785,227.0,14
E15_381,0.47684605757196497,381.0,15
E16_232,0.2903629536921151,232.0,16
E17_411,0.5143929912390488,411.0,17
E18_424,0.5306633291614519,424.0,18
E19_185,0.23153942428035043,185.0,19
E20_495,0.6195244055068836,495.0,20
E21_398,0.4981226533166458,398.0,21
E22_13,0.016270337922403004,13.0,22
E23_779,0.9749687108886108,779.0,23
E24_599,0.7496871088861077,599.0,24
E25_189,0.23654568210262827,189.0,25
E26_418,0.523153942428035,418.0,26
E27_594,0.7434292866082604,594.0,27
E28_680,0.851063829787234,680.0,28
E29_146,0.18272841051314143,146.0,29
E30_629,0.7872340425531915,629.0,30
E31_571,0.7146433041301627,571.0,31
E32_467,0.5844806007509387,467.0,32
E33_458,0.5732165206508135,458.0,33
E34_570,0.7133917396745932,570.0,34
E35_343,0.4292866082603254,343.0,35
E36_760,0.951188986232791,760.0,36
E37_238,0.2978723404255319,238.0,37
E38_668,0.8360450563204005,668.0,38
E39_33,0.04130162703379224,33.0,39
E40_5,0.006257822277847309,5.0,40
E41_258,0.32290362953692114,258.0,41
E42_107,0.13391739674593242,107.0,42
E43_159,0.19899874843554444,159.0,43
E44_55,0.0688360450563204,55.0,44
E45_763,0.9549436795994993,763.0,45
E46_367,0.4593241551939925,367.0,46
E47_250,0.31289111389236546,250.0,47
E48_429,0.5369211514392991,429.0,48
E49_499,0.6245306633291614,499.0,49
E50_340,0.425531914893617,340.0,50
E51_471,0.5894868585732165,471.0,51
E52_332,0.41551939924906134,332.0,52
E53_344,0.4305381727158949,344.0,53
E54_378,0.47309136420525655,378.0,54
E55_634,0.7934918648310388,634.0,55
E56_651,0.8147684605757196,651.0,56
E57_677,0.8473091364205256,677.0,57
E58_144,0.1802252816020025,144.0,58
E59_692,0.8660826032540676,692.0,59
E60_686,0.8585732165206508,686.0,60
