Cell ID,PseudoTime,Time,Experiment
E0_19,0.023779724655819776,19.0,0
E1_610,0.7634543178973717,610.0,1
E2_91,0.11389236545682102,91.0,2
E3_608,0.7609511889862328,608.0,3
E4_131,0.1639549436795995,131.0,4
E5_454,0.5682102628285357,454.0,5
E6_53,0.06633291614518148,53.0,6
E7_572,0.7158948685857321,572.0,7
E8_763,0.9549436795994993,763.0,8
E9_518,0.6483103879849812,518.0,9
E10_69,0.08635794743429287,69.0,10
E11_51,0.06382978723404255,51.0,11
E12_526,0.6583229036295369,526.0,12
E13_118,0.1476846057571965,118.0,13
E14_378,0.47309136420525655,378.0,14
E15_192,0.24030037546933666,192.0,15
E16_607,0.7596996245306633,607.0,16
E17_14,0.017521902377972465,14.0,17
E18_203,0.25406758448060074,203.0,18
E19_625,0.7822277847309136,625.0,19
E20_749,0.9374217772215269,749.0,20
E21_756,0.9461827284105131,756.0,21
E22_749,0.9374217772215269,749.0,22
E23_792,0.9912390488110138,792.0,23
E24_229,0.28660826032540676,229.0,24
E25_368,0.46057571964956195,368.0,25
E26_719,0.899874843554443,719.0,26
E27_31,0.03879849812265332,31.0,27
E28_666,0.8335419274092616,666.0,28
E29_122,0.15269086357947434,122.0,29
E30_409,0.5118898623279099,409.0,30
E31_116,0.14518147684605756,116.0,31
E32_762,0.9536921151439299,762.0,32
E33_93,0.11639549436795996,93.0,33
E34_187,0.23404255319148937,187.0,34
E35_226,0.2828535669586984,226.0,35
E36_154,0.1927409261576971,154.0,36
E37_486,0.6082603254067585,486.0,37
E38_50,0.0625782227784731,50.0,38
E39_91,0.11389236545682102,91.0,39
E40_83,0.10387984981226533,83.0,40
E41_136,0.1702127659574468,136.0,41
E42_587,0.7346683354192741,587.0,42
E43_108,0.13516896120150187,108.0,43
E44_135,0.16896120150187735,135.0,44
E45_755,0.9449311639549437,755.0,45
E46_691,0.8648310387984981,691.0,46
E47_61,0.07634543178973717,61.0,47
E48_495,0.6195244055068836,495.0,48
E49_747,0.934918648310388,747.0,49
E50_657,0.8222778473091364,657.0,50
E51_8,0.010012515644555695,8.0,51
E52_352,0.4405506883604506,352.0,52
E53_141,0.17647058823529413,141.0,53
E54_627,0.7847309136420526,627.0,54
E55_232,0.2903629536921151,232.0,55
E56_716,0.8961201501877347,716.0,56
E57_327,0.409261576971214,327.0,57
E58_420,0.5256570713391739,420.0,58
E59_799,1.0,799.0,59
E60_58,0.07259073842302878,58.0,60
E61_666,0.8335419274092616,666.0,61
E62_577,0.7221526908635795,577.0,62
E63_313,0.39173967459324155,313.0,63
E64_29,0.03629536921151439,29.0,64
E65_512,0.6408010012515645,512.0,65
E66_612,0.7659574468085106,612.0,66
E67_387,0.48435544430538174,387.0,67
E68_324,0.40550688360450565,324.0,68
E69_742,0.9286608260325406,742.0,69
E70_529,0.6620775969962454,529.0,70
E71_198,0.24780976220275344,198.0,71
E72_571,0.7146433041301627,571.0,72
E73_600,0.7509386733416771,600.0,73
E74_750,0.9386733416770964,750.0,74
E75_546,0.6833541927409261,546.0,75
E76_298,0.37296620775969963,298.0,76
E77_400,0.5006257822277848,400.0,77
E78_238,0.2978723404255319,238.0,78
E79_129,0.16145181476846057,129.0,79
E80_39,0.04881101376720901,39.0,80
E81_169,0.21151439299123906,169.0,81
E82_727,0.9098873591989988,727.0,82
E83_77,0.09637046307884856,77.0,83
E84_222,0.27784730913642053,222.0,84
E85_524,0.655819774718398,524.0,85
E86_437,0.5469336670838548,437.0,86
